"Event Title","Date","Time (UTC)","Categories","Show As Status","Match Reason","Description","My Response"
"Ohio AI Roundtable","2026-09-02","15:30-16:00","EIP","busy","category:EIP","Ohio AI Roundtable (AIR) - Weekly AI Skill Building, Insights & Discussion. Join us for AIR, a weekly in-office event designed to help Improvers level up their AI skills and stay informed on what's happening in the world of AI. Location: In-office (Independence, OH & Columbus, OH). Time: 11:30 am every Wednesday. Lunch provided for in-person attendees. Remote access available.","Accepted"
"Ohio AI Roundtable","2026-09-09","15:30-16:00","EIP","busy","category:EIP","Ohio AI Roundtable (AIR) - Weekly AI Skill Building, Insights & Discussion.","Accepted"
"Monthly Game Night","2026-09-14","21:00-23:00","EIP","busy","category:EIP","You are invited to the Cleveland office for our monthly Game Night. We are meeting on the 2nd Monday of the month at 5:00 but will move the meeting around as needed due to other events happening. No prior board game experience required. Food is provided.","Accepted"
"Ohio AI Roundtable","2026-09-16","15:30-16:00","EIP","busy","category:EIP","Ohio AI Roundtable (AIR) - Weekly AI Skill Building, Insights & Discussion.","Accepted"
"US Town Hall","2026-09-16","17:00-18:00","EIP","busy","category:EIP","You're invited to US Town Hall. Wed, Sep 16, 2026 12:00 PM - 1:00 PM (CDT).","Not tracked (large distribution/broadcast invite)"
"Path Shaun-Michael","2026-09-18","15:30-16:00","EIP","busy","category:EIP","Discuss goals and such.","Accepted"
"Ohio New Hire Lunch","2026-09-22","16:00-17:00","EIP","busy","category:EIP","Join for lunch in your respective office to meet our new hires!","Accepted"
"Q4 town hall","2026-09-22","21:00-22:00","EIP","busy","category:EIP","(no description provided)","Accepted"
"Ohio AI Roundtable","2026-09-23","15:30-16:00","EIP","busy","category:EIP","Ohio AI Roundtable (AIR) - Weekly AI Skill Building, Insights & Discussion.","Accepted"
"beyond code?","2026-09-24","21:30-23:30","EIP","busy","category:EIP","(no description provided)","Organizer"
"Ohio AI Roundtable","2026-09-30","15:30-16:00","EIP","busy","category:EIP","Ohio AI Roundtable (AIR) - Weekly AI Skill Building, Insights & Discussion.","Accepted"
