category,activity_name,description,points,guidance,source_screenshot
Industry Participation,Podcast Production,"Produced, recorded, and posted a podcast and included the URL in activity report. Improving was mentioned. Record each episode.",10,,eip catalog 1
Education/Coaching,Personal Coaching,"Participated as coach or recipient in a discussion regarding personal development, strengths, weaknesses, and plans to improve. Should be an organized session/meeting focused on personal development rather than just an impromptu discussion. List the name of the other participant(s).",3,,eip catalog 1
Recruiting,Interview - Phone,Conducted a phone interview. Record each interview,4,,eip catalog 1
Certification/Recognition,Scrum.org (PSD),,10,,eip catalog 1
Sales/Marketing Support,Case Study Creation - Interviewee,Participating in the interview and help edit an AI generated case study for Improving,15,Just the interview doesn't count; you must also do the follow up editing.,eip catalog 1
Sales/Marketing Support,Case Study Creation - Interviewer,Hosting and Facilitating the interview and editing process for Case Study generation for Improving.,25,"Facilitation of the case study gathering, upload to the generator, and then add to the tracking system for editing.",eip catalog 1
Education/Coaching,ImprovingU Course Preparation,Hours for preparing ImprovingU courses,1,Please note the name of the course and record up to 5 hours of preparation (MAX),eip catalog 1
Direct Revenue,40 Billable Hour Week,"Hours recorded for payroll indicate ""fully billable"" for the week. Applies to both Hourly and Salaried employees. Report every week that qualifies. If you are following a 9/80 or another alternative schedule that is the equivalent of 40-hour billables it will qualify.",5,Total number of billable hours recorded in the week is equal to or greater than 40 hours.,eip catalog 1
Direct Revenue,OVER 40 Billable Hour Week,"Worked approved ""overtime"" during the quarter. Record each hour beyond ""fully billable"" (described above). Also record ""Fully Billable Week"" activity. Hours over 50 per week are not encouraged. Alternative schedules such as 9/80 are not considered ""overtime"" if over the alternative schedule period it evens out to 40 hours billable.",1,"Record per each billable ""overtime"" hour in the quarter",eip catalog 1
Industry Contribution/Leadership,Presentation - Improving Talks,You presented on the official Improving Talks weekly presentations,20,Record the date in the field and talk title in the notes.,eip catalog 1
Improving Cares,Charitable Donation,Donate to a charitable organization (that meets the Generous Advocate guidelines),1,Please keep receipts and record the organization URL,eip catalog 1
Education/Coaching,Adjunct Instructor,Assisted with presentation of a training class (internal or external) with the intent of becoming capable of presenting the class independently in the future. Notes should mention the class.,2,,eip catalog 1
Merger/Acquisition,Letter of Intent/Terms Sheet,Provided a lead that has matured to the point that a Letter of Interest (Terms Sheet) has been submitted. Note: items are cumulative and should be reported in the order listed as they occur. Only the first 5 referrals per calendar quarter will be considered.,45,,eip catalog 1
